Month,Zone ID,Zone Name,Ad Requests,Revenue,eCPM,Profit,Revenue to Publisher
5,1542882,"superhaoyun01_320x50_overlay",4609439,691.64,0.15,193.63,498.01
5,1581682,"welove-gourmet_sticky_wipead_responsive",6628341,515.82,0.12,118.64,397.18
5,1573617,"redawine_sticky_wipead_responsive",752913,425.12,0.90,97.78,327.34
5,1538082,"padpadblog.com_wipead_PC & Mobile",330394,323.37,1.02,74.29,249.08
5,1576115,"paintbucke_mixed_wipead_flexiblesticky_responsive",176065,103.21,0.49,20.64,82.57
5,1540243,"bring-you.info_overlay_responsive",503604,70.92,0.18,20.57,50.36
5,1563812,"super-puppys_sticky_wipead_responsive",220910,54.25,0.26,10.85,43.40
5,1564344,"agristok.net_ wipead (responsive)",45134,15.72,0.39,3.62,12.10
5,1588924,"pic.in.th_Wipead (responsive)",37291,10.04,0.27,2.01,8.03
5,1576115,"paintbucke_mixed_videosticky_wipead_responsive",26346,3.23,0.17,0.65,2.58
6,1576115,"paintbucke_mixed_wipead_flexiblesticky_responsive",3030503,1706.55,0.70,341.31,1365.24
6,1542882,"superhaoyun01_320x50_overlay",3918780,583.02,0.15,163.04,419.98
6,1581682,"welove-gourmet_sticky_wipead_responsive",2961015,435.80,0.22,97.12,338.68
6,1563812,"super-puppys_flexiblesticky_responsive",1205649,398.04,0.43,79.61,318.43
6,1538082,"padpadblog.com_wipead_PC & Mobile",303740,340.68,1.15,78.31,262.37
6,1573617,"redawine_sticky_wipead_responsive",612608,296.86,0.67,68.28,228.58
6,1563812,"super-puppys_sticky_wipead_responsive",1945789,288.68,0.34,57.74,230.95
6,1589956,"levanews.com_Video_Wipead",374718,221.34,0.92,33.20,188.14
6,1540243,"bring-you.info_overlay_responsive",779604,186.73,0.24,53.98,132.75
6,1581682,"welove-gourmet_flexiblesticky_responsive",199984,180.68,0.44,38.57,142.11
6,1588924,"pic.in.th_Wipead (responsive)",170683,86.69,0.48,17.34,69.35
6,1564344,"agristok.net_ wipead (responsive)",41066,16.06,0.39,3.69,12.37
7,1597085,"sweetastes_flexiblesticky_responsive",22284636,11651.43,0.51,3004.06,8647.37
7,1563812,"super-puppys_flexiblesticky_responsive",13519330,11279.20,0.64,2384.56,8894.64
7,1576115,"paintbucke_mixed_wipead_flexiblesticky_responsive",2749250,2550.63,0.91,510.13,2040.50
7,1589956,"levanews.com_Video_Wipead",1090134,1052.52,1.55,157.88,894.64
7,1581682,"welove-gourmet_flexiblesticky_responsive",831602,732.32,0.40,160.13,572.19
7,1540243,"bring-you.info_overlay_responsive",1124144,667.53,0.69,193.37,474.16
7,1589956,"levanews.com_flexiblesticky",320324,484.69,2.64,72.70,411.99
7,1596162,"izarcade.com_flexiblesticky",401630,312.65,0.69,31.27,281.39
7,1538082,"padpadblog.com_wipead_PC & Mobile",266077,261.16,1.01,59.81,201.35
7,1573617,"redawine_flexiblesticky_responsive",488411,225.31,0.74,51.82,173.49
7,1573617,"redawine_sticky_wipead_responsive",223760,88.95,0.66,20.46,68.49
7,1588924,"pic.in.th_Wipead (responsive)",172535,59.44,0.34,11.89,47.55
7,1542882,"superhaoyun01_320x50_overlay",549209,38.87,0.08,10.88,27.99
7,1564344,"agristok.net_ wipead (responsive)",48148,20.87,0.44,4.80,16.07
